GEOID,unit,mean_ndvi
56602,ua,0.4369827775092521
56602,uau,0.43797896202694164
57466,ua,0.4280750470851006
57466,uau,0.4367177668334946
57628,ua,0.3904617349610677
57628,uau,0.39359247611344245
57925,ua,0.6227030625187889
57925,uau,0.6250754414161148
58600,ua,0.5812584563256474
58600,uau,0.5848471140124922
60625,ua,0.48171983195289786
60625,uau,0.48712381135677807
60841,ua,0.47461601887463656
60841,uau,0.48127881319965593
61273,ua,0.5595572988930917
61273,uau,0.5688834891790006
62164,ua,0.5582319708548834
62164,uau,0.5680789610407544
62407,ua,0.5828426599675177
62407,uau,0.5910077189943026
62677,ua,0.4442147683468689
62677,uau,0.45043335844588844
63217,ua,0.516792943753871
63217,uau,0.5335409545088882
64945,ua,0.35430150897656815
64945,uau,0.355206678881729
65080,ua,0.3868764167050032
65080,uau,0.3908055029056599
65269,ua,0.3995135817889273
65269,uau,0.40506662450834224
66160,ua,0.3716181453737073
66160,uau,0.3741064067894422
68509,ua,0.4705176116366193
68509,uau,0.47441575037254663
69076,ua,0.5583907560735546
69076,uau,0.5691186927900704
69184,ua,0.22159714581293832
69184,uau,0.22226227559041423
69697,ua,0.5487944870136799
69697,uau,0.5569395149080671
70993,ua,0.5103952365085017
70993,uau,0.509921242799753
71317,ua,0.5242787287983461
71317,uau,0.5282474450046761
71533,ua,0.5186732248461123
71533,uau,0.5298925421883848
71803,ua,0.5651446676390401
71803,uau,0.5665371259586844
72505,ua,0.5564062854413989
72505,uau,0.5685256603757263
72613,ua,0.2317250007050295
72613,uau,0.22934745291515268
73153,ua,0.41457640887892816
73153,uau,0.4302501480938719
74746,ua,0.5957375074095134
74746,uau,0.5985650934517834
75421,ua,0.5850508861347211
75421,uau,0.5921483611052254
75637,ua,0.3921158827397799
75637,uau,0.394830043353104
75664,ua,0.4971333172609911
75664,uau,0.5054533258458478
75718,ua,0.4553405082980474
75718,uau,0.4599327046025493
77068,ua,0.3953748066890413
77068,uau,0.39557915859401066
77149,ua,0.44296235358725
77149,uau,0.44449516857947274
77743,ua,0.4681722406229387
77743,uau,0.47395463587470926
77770,ua,0.49329789259864215
77770,uau,0.5020441209660454
78499,ua,0.2926419626366594
78499,uau,0.2942395990951867
78580,ua,0.4330825931886469
78580,uau,0.43784895196523177
78661,ua,0.34419031097473396
78661,uau,0.34786022844958275
78904,ua,0.39125715872648653
78904,uau,0.4020371120867759
79039,ua,0.3641977644254032
79039,uau,0.3664630593858514
79768,ua,0.5395103266705538
79768,uau,0.5413602292098743
80227,ua,0.49981613807195957
80227,uau,0.5034162192888973
80389,ua,0.5454255736651883
80389,uau,0.5505535475654925
81739,ua,0.5535336177980086
81739,uau,0.5580924476850877
82225,ua,0.38235993059184875
82225,uau,0.3659077383823122
83116,ua,0.49322706932733007
83116,uau,0.5023119967113172
83764,ua,0.38514776831514813
83764,uau,0.38798018730874073
83899,ua,0.4852221430775757
83899,uau,0.49149027445661386
83926,ua,0.56522433024916
83926,uau,0.5692234496515085
83953,ua,0.5069280040874997
83953,uau,0.5128286373504475
83980,ua,0.5117621107340361
83980,uau,0.5207390681496404
85087,ua,0.3513766972798485
85087,uau,0.35282371178594335
86302,ua,0.47613921801347986
86302,uau,0.4802217455508645
86599,ua,0.5355156898557965
86599,uau,0.5385611483158375
87139,ua,0.5032745938951884
87139,uau,0.5142071075943727
87868,ua,0.4526649054088158
87868,uau,0.45706963654308275
88084,ua,0.4562827432083703
88084,uau,0.4623071285595272
88462,ua,0.5599596193577602
88462,uau,0.5732458003893904
88948,ua,0.44733763574416724
88948,uau,0.4506351729998795
89785,ua,0.4809647562173664
89785,uau,0.4932990476704204
90892,ua,0.5193437445200584
90892,uau,0.5228694182995589
91027,ua,0.4503455273637215
91027,uau,0.4552022341228602
92485,ua,0.5845110286384315
92485,uau,0.596546254724818
92593,ua,0.4021748660751496
92593,uau,0.4085946020394649
94726,ua,0.5240478124037073
94726,uau,0.5294630215392709
95077,ua,0.4082915014364871
95077,uau,0.4125059100334056
96670,ua,0.6168170826907982
96670,uau,0.6208770698075238
97750,ua,0.5528726940674041
97750,uau,0.5585070245088071
97831,ua,0.5398492827608604
97831,uau,0.543812556622526
